	vclaim	title
3237	Alaska, Hawaii, Washington states are overwhelmingly 'white' and 'rural.'	Alaska, Hawaii, Washington State Overwhelmingly ‘White, Rural’?
8348	So far in 2018, the number of U.S. students killed in school shootings is greater than the number of U.S. military personnel who have been killed on active duty.	Which Has Killed More People in 2018: School Shootings or Military Service?
7646	President Donald Trump's son Barron was once photographed wearing Nike brand shoes.	Does This Photograph Show Barron Trump Wearing Nike Shoes?
6805	Ordinary use of waterproof sunscreen can cause blindness.	Waterproof Sunscreen and Blindness
7908	Purchases of U.S. flags are exempt from sales taxes.	U.S. Flags Exempt from Sales Taxes
10170	Wearing certain types of sanitary pads causes uterine and bladder cancer and has resulted in the death of 56 girls.	Sanitary Pad Warning
10284	World Trade Center leaseholder Larry Silverstein bought terrorism insurance two months before 9/11, then collected double its value on the grounds that there were two attacks.	Did a WTC Leaseholder Buy Terrorism Insurance Just Before 9/11?
913	A 16-year-old girl named Skylar-Earl Neese is missing from her West Virginia home.	Missing Child: Skylar Neese
8830	The FCC has classified Fox News as “satire” rather than a news source.	Fox News Classified Satire by FCC
9336	The following are the instructions enclosed with the novelty toy TOUNGE OF FROG, manufactured in Taiwan.	Mistranslated Toy Frog Instructions
8951	The NFL's rulebook contains a regulation specifically requiring players to stand on the sideline during the pre-game playing of the U.S. national anthem.	Are NFL Players Required to Stand on the Field During the National Anthem?
5523	Humorous list is compiled from genuine comments submitted by welfare applicants.	Welfare Application Humor
1756	A meme claimed that a British Muslim man named Sajid Muhammed set a woman on fire for eating a bacon sandwich, and was jailed for only two years.	Sajid Muhammed Sets Woman on Fire
1954	A photograph show Ivanka Trump with Vladimir Putin and Wendi Murdoch.	Does a Photograph Show Ivanka Trump with Vladimir Putin and Wendi Murdoch?
3271	Amazing on-line psychic trick can read minds and identify which symbol a user selected from a list of many choices.	Lady Esmerelda’s Crystal Ball
2079	A photograph shows a Covington Catholic High School basketball game with students wearing blackface and/or black body paint in the stands.	Is This Picture from a Covington Catholic High School Basketball Game?
6082	Law enforcement agencies recommend that people wash the handle on shopping carts before using them to avoid potential exposure to fentanyl.	Police Chief Warns of Fentanyl Overdose Risk from Residue on Shopping Carts?
193	An autumn 2018 outbreak of E. coli linked to romaine lettuce was caused by a decision by President Trump to reverse existing rules on agricultural water inspection.	Did President Donald Trump Overturn Farm Water Regulations, Causing an E. Coli Outbreak?
9673	There is a secret Obama administration plan for a federal takeover of local police forces via Justice Department consent decrees.	UN Backs Secret Obama Takeover of Police
9008	The Pittsburgh Steelers will be forced to surrender half their Super Bowl titles to less fortunate teams.	Steelers Super Bowl Redistribution
4129	Chelsea Clinton was arrested in April 2017 for having sex with a minor.	Chelsea Clinton Was Arrested for Having Sex With a 13 Year-Old Boy?
7586	Prayers are requsted for Lauren Renee Pingel, a three-year-old girl from Amarillo, Texas, who was injured in an automobile accident.	Lauren Renee Pingel
6222	Malia Obama was arrested after being caught drinking while underage and running naked across the Harvard campus.	Was Malia Obama Busted While Streaking at Harvard?
9948	Under a law known as the droit du seigneur (“right of the lord”),  medieval noblemen had the right to spend the first night with newly-wedded brides in their fiefdoms.	First Knight
4865	Eating a quail a day for 30 days is an impossible-to-win bet.	Fowl Play
8146	Scammers con victims into forwarding their phones to other numbers.	Call Forwarding Scam
5588	Image presents information about Costco CEO James Sinegal.	Costco CEO
8816	The FBI has warned all Americans to be cautious of produce at grocery stores that might have been sprayed with poison.	FBI Warning to ‘All Americans’ About Poisoned Produce
1376	A criminology textbook used an image of Brock Turner to illustrate an entry on rape.	Did a Criminology Textbook Use Brock Turner to Illustrate an Entry on Rape?
5807	In the wake of the 2004 Indian Ocean tsunami, consumers should avoid fish and seafood because it may contain the Zulican virus.	Zulican Virus
10205	When the Germans ordered Jews in occupied Denmark to identify themselves by wearing armbands with yellow stars during World War II, King Christian X of Denmark and non-Jewish Danes thwarted the order by donning the armbands themselves.	The King of Denmark Wore a Yellow Star
9529	The removal of yellowcake uranium from Iraq in 2008 proved that Saddam Hussein had been trying to restart Iraq’s nuclear program.	Yellowcake Uranium Removed from Iraq
2474	A review of Facebook Active Sessions will reveal unauthorized users currently accessing one’s Facebook account.	Facebook Active Sessions
8452	State Farm insurance will not offer insurance to gun owners or manufacturers.	Is State Farm Denying Insurance to Gun Owners?
9496	The poem “Daddy’s Day” was written in response to the September 11 terrorist attacks.	Daddy’s Day
3640	Article claims UPS will not deliver packages to some parts of Israel.	UPS Deliveries in Israel
5980	Journalist Jen Moore died under suspicious circumstances after contacting both the DHS and the FBI with allegations that former President Bill Clinton committed sexual assault.	Was Journalist Jen Moore Killed After Contacting Authorities About Bill Clinton?
5908	Jelly sandals sold by Walmart contain unsafe amounts of lead.	Do Walmart Jelly Sandals Contain Lead?
4130	Chelsea Clinton was paid $900,000 to work for her parents after she finished college.	Chelsea Clinton Made $900,000 Working for Her Parents
4292	Congress has eliminated the child tax credit, the earned income tax credit (EITC), and mortgage deductions from the tax code under pressure from lobby groups and the Koch brothers.	Congress Eliminates Child Tax Credit, Mortgage Deduction and EITC from Tax Code
757	U.S. Senator Kamala Harris bragged, boasted or laughed about prosecuting a homeless single mother in a January 2010 speech.	Did Kamala Harris Once Boast About Prosecuting a Homeless Mother?
7459	Pimm's signed a sponsorship deal to display its logo on Big Ben.	Pimm’s Signs Sponsorship Deal to Display Logo on Big Ben
8080	Roy Moore's accuser was arrested and charged with falsification of a yearbook entry attributed to Moore.	Was One of Roy Moore’s Accusers Arrested and Charged With ‘Falsification’?
1968	A photograph shows 'the world's cutest rodent,' a Baluchistan pygmy jerboa.	The ‘World’s Cutest Rodent’?
886	A (Virtual) Card for You	A [Virtual] Card for You Virus
8038	Retired U.S. Army General Barry McCaffrey opined that President Trump poses a 'serious threat to U.S. national security.'	Did a Retired Army General Call President Trump a ‘Serious Threat to U.S. National Security’?
9884	U.S. Rep. Ilhan Omar walked out of a 9/11 memorial service in 2019.	Did Rep. Ilhan Omar Walk Out of 9/11 Memorial Service?
8355	Social Security recipients.	Social Security
2983	A woman who used a recalled brand of tampons saw herself become infested with ants and had to be treated with a grotesque fungus that turned those ants into zombies.	Recalled Tampons Result in Bloody Exodus of Ants from Body
3682	Astronaut Buzz Aldrin sent a tweet claiming that humanity was in danger, and that a mysterious 'it' was 'evil itself.'	Buzz Aldrin Tweeted ‘We are all in Danger, it is Evil Itself’?
9272	The daddy longlegs is the “world’s most poisonous animal.”	Daddy Longlegs
8848	The Facebook “Look Back” mini-movie function is the work of a hacker.	Facebook Look Back
2803	A video shows a member of a lost Indonesian pygmy tribe on a dirt bike trail in Aceh.	Was a ‘Lost Pygmy Tribe’ Discovered on an Indonesian Bicycle Trail?
3420	An atheist professor challenged God to keep a breakable object from shattering when he dropped it to the ground.	Did an Atheist Professor Test God by Dropping a Breakable Object?
5247	Gap, Inc. stores will feature signs saying 'Merry Christmas' instead of 'happy holidays.'	The Gap Is Using ‘Merry Christmas’ Signs Instead of ‘Happy Holidays’?
6889	Paul McCartney wrote the song 'Blackbird' during a visit to the U.S., inspired by the civil rights movement.	Was Paul McCartney’s Song “Blackbird” Inspired by the Civil Rights Movement?
6	A 13 percent increase in police-recorded crime in England and Wales is linked to a rise in 'radical Islamic terror.'	Is an Increase in Recorded Crime in England and Wales Linked to ‘Radical Islamic Terror’?
4052	Cancer sufferer Shane wants to set a world record for number of birthday cards received.	Shane Bernier Appeal
6803	Ordinary use of Ultra Clorox bleach poses a general danger to household pets.	Ultra Clorox Harmful to Pets
5739	In May 2017, Pinnacle Foods announced the 'largest recall in recent times' of several Aunt Jemima products due to possible Listeria contamination.	Did Aunt Jemima Recall Frozen Pancake Products Over Listeria Concerns?
6975	Photograph shows Condoleezza Rice posing with Osama bin Laden.	Condoleezza Rice and Osama Bin Laden
10277	Work crew discovers a decades-old wrecked car with several skeletons inside.	The Lost Wreck
1077	A Japanese department store once created a Christmas display featuring a smiling Santa Claus nailed to a cross.	Santa Hung on a Cross in Japan?
4207	Clocks and watches pictured in advertisements display a time of 10:10 in commemoration of the time of Abraham Lincoln’s death.	Clock Hands at 10:10
4841	E-mail solicits recipients to create CDC Vaccination Profiles.	CDC Vaccination Profile
3026	AOL and Yahoo!  are proposing to “tax” e-mail messages.	AOL/Yahoo! E-mail Tax
8473	Sting video maker James O'Keefe plans to 'infiltrate' the Women's March on Washington.	James O’Keefe Planning to Infiltrate Women’s March in DC?
5655	In 2012, Usher paid $1.1 million to settle a lawsuit brought by a woman claiming he had knowingly infected her with herpes.	Was Usher Successfully Sued for Giving a Woman Herpes?
7270	Photographs show a cache of weapons uncovered by the Coast Guard in Greece, disguised as furniture and headed for European refugee camps.	Greece Seizes Weapons Headed for Refugee Camps?
7277	Photographs show a conceptual pen-sized personal computer system.	Pensonal Computer
4851	E-mailed notification for Adobe PDF Reader software upgrades.	Adobe PDF Reader Upgrade
2364	A photograph shows the skeletal remains of the Loch Ness Monster.	Photographs Show Carcass of Loch Ness Monster
10313	You can make up to $75 per hour processing refunds for FedEx and UPS.	Refund Processor Scam
6374	Mexican citizens are required to have government-issued photo ID cards in order to vote in federal elections.	How to Vote in Mexico
9555	The soft drink 7Up was named for the number of its ingredients.	Origins of the 7Up Soft Drink Name
3837	Bernie Sanders's campaign bused fake supporters to rallies, caucuses, and events in order to prevent legitimate attendees from being able to participate.	Sanders Campaign Busing Youths to Caucuses and Primaries
5881	Jaleel White (Steve Urkel of television’s Family Matters) committed suicide.	Jaleel White (Steve Urkel) Suicide
7326	Photographs show a snake found inside a PC.	Snake Byte
10341	Youths shoot a patrol car parked as a “speeder deterrent” on the one day it contains a real cop.	Shot Policeman
6175	Listing yourself as your friend on Facebook creates an open door for hackers.	Facebook Hacker Door
5957	John Kerry is known for behaving rudely towards others around him.	John Kerry Rudeness
8183	Seattle Seahawks cornerback Richard Sherman authored an essay criticizing the Black Lives Matter movement.	Seahawks’ Richard Sherman Condemns ‘Black Lives Matter’ Movement
314	Eighty percent of the Ninth Circuit Court of Appeals' decisions are overturned by the Supreme Court.	Does the Supreme Court Overturn 80 Percent of Ninth Circuit Court Decisions?
3146	Actor Sylvester Stallone recently announced he “has surrendered his life to the Lord Jesus Christ.”	FALSE: Sylvester Stallone Finds Religion
10200	When asked by Hillary Clinton why she thought the U.S. hasn't had a female president yet, Mother Teresa answered, 'Because you probably aborted her.'	Did Mother Teresa Teach Hillary Clinton a Lesson on Abortion?
7533	Pope Francis said evolution and the Big Bang theory are compatible with the Bible and religious belief.	TRUE: Pope Francis Praises Evolution and Big Bang Theory
9717	Three Syrian refugees raped and murdered a 5-year-old girl at knifepoint in Idaho.	Three Syrian Refugees Assault 5-Year-Old Girl at Knifepoint?
4690	Drinking wine before bed 'officially makes you skinny.'	Does Wine Before Bed ‘Make You Skinny’?
3178	Administering three simple tests will help diagnose a stroke, and pricking a stroke victim's fingers will prevent further harm from the cerebral attack.	Three Simple Tests to Detect a Stroke
1186	A Taiwanese airliner dumped human waste onto the top deck of a cruise ship.	Plane Accidentally Empties Toilet Tank Over Cruise Ship, 23 Injured?
2149	A photograph shows a group of sheep squeezing through a gate, despite no fence hemming them in.	Sheep Walking Through Gate
4424	Dell Hospital will contribute money towards the medical care of a 5-year-old rape victim every time a message is shared.	Dell Hospital Facebook Appeal
10295	Yahoo! will begin charging for its previously-free POP e-mail service in April 2002.	Yahoo! Mail Petition
7458	Pilot of commercial airliner makes announcement that the flight is carrying the body of a U.S. soldier killed in Iraq.	Howard Johnson
3599	Anonymous has discovered evidence that numerous politicians have Ku Klux Klan connections.	Anonymous OpKKK
1234	A baby strapped in a car seat is left on the roof of a car.	Baby Left on Car Roof
7027	Photograph shows a Mexican national flag flown above an upside-down U.S. flag during a high school student protest over immigration reform.	Mexican Flag at Montebello High School
7938	Rape would be designated a pre-existing condition under the American Health Care Act.	Is Sexual Assault a Pre-Existing Condition Under ‘Trumpcare’?
6217	Magnus Söderlund proposed or advocated eating human flesh as a solution to climate change in remarks he made on Sept. 3, 2019.	Did a Swedish Scientist Propose Cannibalism as a Solution to Climate Change?
6919	People shouldn’t wear seat belts because they might not be able to escape from their vehicles in car fires.	Seatbelt Risk
1977	A photograph shows Barack Obama sitting with Malcolm X and Martin Luther King, Jr.	Did Barack Obama Meet with Malcolm X and Martin Luther King, Jr.?
925	A 1940s report on school discipline problems cited gum-chewing, littering and making noise in class as the most worrisome problems then faced by educators.	1940 School Discipline Problems
7650	President Eisenhower said that a political party must be dedicated to the advancement of a moral cause, otherwise it is just a conspiracy to seize power.	Did President Eisenhower Say If a Political Party Doesn’t Advance a Moral Cause, Then It Is Merely a Conspiracy to Seize Power?
2356	A photograph shows the mouth of an adult suffering from hyperdontia.	Does This Picture Show a Case of Hyperdontia?
9694	Thinking she could fly, Diane Linkletter accidentally jumped to her death while high on LSD.	Death of Diane Linkletter
330	"Former President Barack Obama tweeted: ""Ask Ukraine if they found my birth certificate."""	Did Barack Obama Tweet, ‘Ask Ukraine If They Found My Birth Certificate’?
4926	Eric Clapton’s Tears in Heaven	Eric Clapton’s Tears in Heaven
5562	If you die, you can send your ashes to legislators as one final act of protest.	Can You Have Your Ashes Mailed to Congress?
4202	Clint Eastwood died of a heart attack while filming a commercial in August 2019.	Clint Eastwood Death Hoax
6516	Mr. Clean Magic Erasers have been banned from stores because the product contains formaldehyde.	Dangerous Chemicals in Mr. Clean Magic Eraser
7803	President Trump has established English as the official language of the United States.	Did President Trump Make English the U.S. Official Language?
8340	Snakes have been used as hold-up weapons.	Snakes as Weapons
5550	Iceland forgave the entire mortgage debt of its population, and a 'media blackout' prevented Americans from learning about it.	Iceland Forgives Entire Population of Its Debt?
8993	The Obama administration, not the Trump administration, built the cages that hold many immigrant children at the U.S.-Mexico border.	Did Obama Admin Build Cages That House Immigrant Children at U.S.-Mexico Border?
2146	A photograph shows a group of monkeys huddled together near a burnt-out forest.	Are These Monkeys Huddled Near a Burnt-Out Forest?
5216	Freelance reporter Hal Lundgren wrote a letter to Lebron James criticizing the NBA star for comments he made about President Trump.	Did Hal Lundgren Write an Open Letter to Lebron James?
